,Unnamed: 0,사업자등록번호,Unnamed: 2,기업명,기업영문명,대표자명,종업원수,종업원수기준년월,산업분류코드,산업분류코드설명,기업규모,기업형태,업태명,설립일,이메일주소,전화번호,팩스전화번호,우편번호,주소,상세주보,대분류,중분류,소분류,세분류,indCd1_str
10,1228,1068706829,,씨비티솔루션즈***,CBTSoluti***,엄**,4.0,Nov-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도소매/서비스,20140722.0,fna@cbtsolutions.co.kr,02-6959-4379,0505-718-4379,4096.0,서울 마포구 독막로 231,"4층 (신수동,우원빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
11,1254,6668703326,,청광글로시스***,"Cheonggwang Glo Sys Co., L***",이*,3.0,Apr-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도소매/서비스,20161013.0,,02-719-7731,02-719-7732,4165.0,서울 마포구 마포대로,"15, 518호 (마포동,현대빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
12,1325,5548104516,,(주)씨***,"COCC Co., L***",이**,3.0,Jul-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,"도소매/서비스/소매업/전문, 과학 및 기술서비스업",20150721.0,ju.lee@cocc.co.kr,070-8151-8921,,3930.0,서울 마포구 월드컵북로42다길,"14, 4층 (상암동,상암라이크)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
13,1384,8468609719,,(주)아***,"ITfun Co., L***",김**,6.0,Apr-20,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,,20180319.0,,,,7207.0,서울특별시 영등포구 양평로21길 26,"2207호 (양평동5가,선유도역1차아이에스비즈타워)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
14,1406,7098707073,,(주)씨피에스***,"cpskorea Co., L***",박**,3.0,May-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도소매/임대업,20190101.0,,02-777-4473,02-777-4475,4136.0,서울특별시 마포구 대흥로 110,"지층 (대흥동,수안빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
15,1417,5498103922,,(주)***,"New Edge Co., L***",박성재외***,21.0,Apr-20,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,,20170907.0,purmae@new-edge.kr,226900911,0504-037-3777,4362.0,서울특별시 용산구 원효로31길 12,"3층 3층, 4층, 5층 (원효로3가,새로이빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
16,1516,1068609611,,(주)써먼***,"Sirmeon Digital Co.,L***",김**,4.0,Jun-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도매/도소매/서비스,20051101.0,chongkss@hanmail.net,070-7619-3600,02-868-2812,10881.0,경기도 파주시 회동길 209,"3층 301호 (문발동,지구문화사빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
17,1523,7818609557,,(주)이오에스***,EOS Solut***,유**,5.0,Apr-20,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,,20150831.0,pmart2@eossolution.co.kr,02-701-9093,02 7016093,4179.0,서울특별시 마포구 삼개로 38,"305호 (도화동,우성에이상가)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
18,1773,1208702301,,(주)베***,Best Tech. I***,서**,12.0,Nov-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도매/도소매/서비스/제조업,20060811.0,wooyul.seo@bestts.co.kr,02-497-0090,02-497-0093,4794.0,서울 성동구 성수일로8길 53,"701호 (성수동2가,성수동복합시설)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
19,1795,2148107850,,(주)서일***,seoil sys***,박*,20.0,Jul-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,교육서비스업/도소매/서비스/제조，도소매,19890401.0,account@seoiln.com,02-523-2613,02-581-6624,6654.0,서울특별시 서초구 효령로 283,(서초동),도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
20,1874,1148609241,,(주)엠파워***,"Empower System Co., L***",남**,51.0,Jan-22,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도매/도소매/부동산업　및　임대업/서비스/소매업,20021201.0,dhnam@emp-sys.com,02-869-8870,02-869-0152,4386.0,서울특별시 용산구 한강대로30길 25,"4층 (한강로2가,아스테리움용산)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
21,1878,1168101009,,한국아이비엠***,IBM KOREA I***,원**,1105.0,Dec-20,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중견기업,외감,건설업/금융/금융업/도，소매/소매,19670425.0,yujiy@kr.ibm.com,02-3781-7114,02-3781-5141,7326.0,서울 영등포구 국제금융로 10,"(여의도동,국제금융센터쓰리아이에프씨)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
22,2082,4258607214,,(주)다***,DAINC***,강**,17.0,Jun-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,건설업/도소매업/정보통신업,20190719.0,,042-823-4788,042-823-4787,35350.0,대전 서구 도안북로93번길 10-15,"5층 501호 (도안동,명보빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
23,2090,1208704367,,(주)위드네***,"With Networks Co.,L***",고인구외 ***,107.0,Jun-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,외감,도매외,20091205.0,hryang12@withnetworks.com,02  569 5613,02  569 5614,4379.0,서울특별시 용산구 한강대로11길 13,"2층~4층 (한강로3가,용일빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
24,2096,1068103421,,(주)이십일세기***,"21st Century Soft. Co., L***",이**,50.0,Dec-20,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,외감,도.소매,19990507.0,lsj@21soft.co.kr,02  26285566,02  26285568,7255.0,서울 영등포구 선유로 146,"14층 10,11호 (양평동3가,이앤씨드림타워)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
25,2151,2208103291,,한국이엠씨컴퓨터시스템즈***,"Hankook EMC Computer Systems Chusik Hoesa Co., L***",김**,423.0,Jan-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중견기업,외감,건설업/도매/서비스/임대,19950817.0,noh_misook@emc.com,02  21257000,02  21257280,6236.0,서울특별시 강남구 테헤란로,"152, 17층 (역삼동,강남파이낸스센터)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
26,2199,2208104980,,(주)다우***,Daou Data Co***,김익래외***,180.0,Sep-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중견기업,코스닥등록,금융 및 보험업/도매/부동산/서비스/서비스　　　　　/소매/제조,19920610.0,ywjung@daoudata.co.kr,02-3410-5117,02-702-7160,4156.0,서울특별시 마포구 독막로 311,"5층, 11층 (염리동,재화스퀘어)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
27,2496,3052306129,,가온**,"Gaon Tech Co., L***",박**,1.0,May-16,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,,,,070 40686126,,4144.0,서울특별시 마포구 마포대로,"127, 1608호 (공덕동,풍림빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
28,2584,3078101995,,(주)한빛정***,,정**,5.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,전기자재외,20140828.0,,044 866 1083,5053656374,10477.0,경기도 고양시 덕양구 은빛로 45,"3층 302-2호 (화정동,화정꽃무리조합프라자)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
29,2602,1068605640,,(주)씨***,"Cynexzone Co., L***",김**,43.0,Mar-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,외감,도매/도소매/서비스/소매/제조업,20061212.0,jangc@cynex.co.kr,02  707 1314,02  21202654,4355.0,서울 용산구 효창원로55길 20,"지하1층전부,1층일부,2층전부 (용문동)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
30,2727,1228108349,,(주)유***,"You Korea CO., L***",이**,10.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,"제조,도소매,제조업,도매 외",20040225.0,lbg555@korea.com,032-528-3113,032 529 1199,21449.0,인천광역시 부평구 백범로577번길 20,"공장동 737,738호 (십정동,경인센타빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
31,2829,1148600795,,(주)오픈소스***,"Open Source Consulting, I***",장**,36.0,Apr-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,건설업/도매 및 소매업/도소매/서비스,20120313.0,admin@osci.kr,02  516 0711,02  516 0722,6167.0,서울특별시 강남구 테헤란로83길 32,5층 (삼성동),도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
32,2856,2158709544,,(주)한북통***,"HANBUK COMMUNICATIONS TECHNOLOGY CO.,L***",김**,7.0,Jun-20,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,건설업/도매및상품중개/서비스,20100101.0,hanbuk@hanbuk.co.kr,031-883-2822,031-881-3967,12662.0,경기 여주시 가남읍 대명산길 9,2호 (태평리),도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
33,2860,5018106346,,(주)대***,"Daeyoung System Co, ***",이**,10.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도소매부동산,19990701.0,daeyoung@daeyung21.com,053 744 6387,053 744 6389,42047.0,대구광역시 수성구 무열로 131,(만촌동),도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
34,2940,1138106598,,에이치원시스템***,"H One System Co., L***",김**,5.0,Mar-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도소매/서비스/제조업,20030404.0,,02-2633-5043,02-2633-5045,8506.0,서울특별시 금천구 가산디지털2로 98,"2동 1107호 (가산동,롯데아이티캐슬)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
35,2986,1078604881,,(주)베***,"Bay Nex Co., L***",연**,113.0,Dec-20,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,외감,도소매/서비스,20051114.0,kmtak@baynex.co.kr,02  785 9977,02  785 7447,7217.0,서울특별시 영등포구 당산로41길 11,"W1209호~W1212호, B102호 (당산동4가,당산에스케이브이1센터)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
36,3049,1148606568,,(주)아***,"IT Con Co, ***",이**,6.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,서비스,20070901.0,jhlee@itcon.kr,02  20703200,02  20703210,7207.0,서울특별시 영등포구 양평로21길 26,"2601호 (양평동5가,선유도역1차아이에스비즈타워)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
37,3254,1078102531,,(주)웨***,way***,고**,58.0,Mar-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,외감,도매/도소매/부동산/서비스/소매업/제조업,19990702.0,smkim@waycos.co.kr,02-2167-3000,02-2167-3001,4373.0,서울 용산구 청파로 46,"1001호 (한강로3가,한통빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
38,3268,1298108651,,(주)한***,"Hans Jungbo Co., L***",한**,3.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,"도,소매",20000706.0,hanmac@orgio.net,02  707 1903,02  707 1913,8510.0,서울특별시 금천구 벚꽃로 298,"610호 (가산동,대륭포스트타워6차)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
39,3311,3628103968,,(주)비엔아***,"BING Co.,L***",연광흠외***,19.0,Apr-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,외감,도소매/서비스,20170426.0,tax@bninc.co.kr,27859977,02-6121-8309,7217.0,서울특별시 영등포구 당산로41길 11,"1208호 (당산동4가,당산에스케이브이1센터 더블유동)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
40,3374,1068606058,,(주)넥시***,"Nexsys Co.,***",오**,10.0,Nov-18,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,건설업/도소매/서비스,20011026.0,shoh@nexsys.co.kr,070 4115 2000,02  20811457,7285.0,서울 영등포구 선유로,"27, 404호 (문래동5가,대륭빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
41,3505,1208705111,,(주)***,HUEVERT***,손**,50.0,Apr-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,외감,도소매/서비스,20081215.0,jhson@huevertech.com,02-6495-3400,02-6499-0299,4781.0,서울 성동구 성수이로7길 7,"303호 (성수동2가,서울숲한라시그마밸리2)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
42,3547,2148704816,,(주)넷***,Net Cross I***,추**,13.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도，소매/도소매/서비스/통신업,20020207.0,ckm8282@netcross21.com,02  719 1310,02  704 4736,4303.0,서울 용산구 청파로 345,"(서계동,주연빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
43,3615,6158103985,,(주)라이노정***,"RAINNO IT CO., Co., L***",최**,27.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,"도,소매/서비스",20050914.0,oschoo@khahy.co.kr,055 326 4700,055 326 4701,50992.0,경남 김해시 계동로 149,"306호 (대청동,동송프라자)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
44,3716,2118802237,,온크루소프트***,"OnCrewSoft,.***",신**,8.0,Apr-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,"도,소매/서비스",20091105.0,shinys88@oncrewsoft.com,02-6405-0851,02-6450-0867,7217.0,서울 영등포구 당산로41길 11,"W동 809호 (당산동4가,당산SKV1센터)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
45,3744,1058102215,,에이원정보기술***,"A-One Info Tech Co., L***",김**,19.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,소매,19970709.0,helee@aone-info.co.kr,02  323 0081,02  323 0082,4056.0,서울특별시 마포구 신촌로 40,(동교동),도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
46,3855,1208606701,,(주)***,VALLOY INCORPORAT***,김**,6.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,서비스/제조,20040715.0,support@valloy.net,02  60825022,02  445 5441,5836.0,서울 송파구 법원로 127,"1017호 (문정동,문정대명벨리온)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
47,3871,1198606431,,(주)신성씨***,"SINSUNGCNS CO.,L***",전**,35.0,Apr-20,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도소매/서비스,20090701.0,lbr@sinsungcns.com,02 867 2626,02 867 2621,8594.0,서울특별시 금천구 가산디지털1로 19,"1301동 1305호 (가산동,대륭테크노타운18차)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
48,3911,1448103389,,케이앤씨정***,KNC Information Communicat***,김**,3.0,Oct-15,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,,20140710.0,knctel@naver.com,031 712 2058,,13631.0,경기도 성남시 분당구 탄천상로 164,"A동 624호 (구미동,시그마2오피스텔)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
49,3980,2148608852,,(주)태광네트***,"TAEKWANG NETWORK INFORMATION Co., L***",추**,27.0,Jun-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,"도매업/도소매/부동산업 및 임대업/서비스/제조업/출판, 영상, 방송통신 및 정보서비스업",19990719.0,jk831@tkni.net,031-478-5500,031-478-5501,14059.0,경기 안양시 동안구 흥안대로 415,"731호, 732호 (평촌동,두산벤처다임)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
50,4081,5028108359,,(주)시스***,"Sys IT Co., L***",이**,4.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도매외,20060802.0,lky@sysit.co.kr,053 944 0936,053 944 0938,42063.0,대구광역시 수성구 화랑로 204,"5층 (만촌동,동문빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
51,4115,1318101886,,(주)월드넷***,"World Net Korea CO., L***",최**,27.0,Apr-20,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,"건설/도소매/서비스/임대업(부동산제외/전문, 과학 및 기술서비스업/정보통신업/제조업",20040628.0,,032 551 7712,032 551 7714,21315.0,인천 부평구 부평대로,"283, B동 504호 (청천동,부평우림라이온스밸리 비호)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
52,4166,8468704045,,(주)아이***,"ITWEENS Co.,L***",김**,7.0,Apr-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,도매/서비스,20180822.0,,02-864-8022,0505 300 0822,8506.0,서울특별시 금천구 가산디지털2로 108,"910호 (가산동,뉴티캐슬)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
53,4329,6408108995,,(주)이아***,"eibiz Co.,L***",원**,5.0,Jun-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,,20160907.0,,070 4322 0168,070 4758 0169,10464.0,경기 고양시 덕양구 고양대로,"1393, 303호 (성사동,고양지식정보산업진흥원)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
54,4350,5028101193,,(주)아진정***,"AJIN INFORMATION COMMUNICATIONS CO.,L***",신**,9.0,Mar-19,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,건설업/도매 및 소매업/도소매/서비스,20060511.0,ajin@ajin.biz,15447785,053 741 1920,41405.0,대구광역시 북구 학정로,551-13 (학정동),도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
55,4544,1028106479,,델인터내셔널***,DELL INTERNATIONAL INC.(KOR***,김**,358.0,Apr-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중견기업,외감,도매업/도소매/서비스,19950928.0,hyeyoung_park@dell.com,070-850-5050,02-2194-6552,6236.0,서울 강남구 테헤란로,"152, 18층 (역삼동,강남파이낸스센터)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
56,4568,2048106433,,(주)오***,"OPAS Net Co., L***",장**,306.0,Mar-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,코스닥등록,도소매/무역/서비스/제조/제조업/통신,20041025.0,sye0831@opasnet.co.kr,02-2193-8600,02-553-6513,6179.0,서울 강남구 테헤란로 512,"10층 (대치동,신안빌딩)",도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
57,4608,4128108131,,(주)이***,"E TREND CO.,L***",조**,17.0,Mar-21,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업",중소기업,일반,건설업/도소매/서비스/제조,20050324.0,na@etrend21.co.kr,062-529-3300,062-526-8899,57339.0,전남 담양군 담양읍 추성로 1361,(객사리),도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510
